Sample,Cont_T,Type_L,Cont_1,Type_3,PSU2,PSU3,PSU4,PSU5,PSU8,PSE1,PSE2,PSE3,PSE4,PSE7,RCB2,RCB3,RCB4,RCB5,RCB7,Gene_Code,Age_Code,Education_Code,Duration_Code,Gen_C,Age_C,Edu_C,Dura_C,Trust,Discrm,AI_Kno,AI_Dist,MPSU,MPSE,MRCB,Cont,trace,interact
78,1,1,2,3,2,1,3,2,3,1,3,1,2,1,5,7,6,5,7,男,18-24岁,本科,1-2小时,1,2,3,3,6,5,7,6,2.2,1.6,6,0,1,0
79,1,2,1,2,6,7,5,6,6,5,4,4,5,6,4,7,5,5,7,男,18-24岁,本科,2小时以上,1,2,3,4,5,4,4,3,6,4.8,5.6,0,0,0
80,2,2,6,2,7,5,6,6,7,5,6,7,5,5,2,3,3,1,1,女,18-24岁,本科,2小时以上,2,2,3,4,6,2,3,2,6.2,5.6,2,1,0,0
81,2,1,6,6,1,3,2,2,7,5,6,6,7,6,7,5,7,7,7,男,18-24岁,本科,1-2小时,1,2,3,3,7,5,7,6,3,6,6.6,1,1,1
82,2,1,7,7,1,1,1,1,1,4,6,5,5,5,7,7,7,7,7,男,18-24岁,本科,1-2小时,1,2,3,3,4,5,5,5,1,5,7,1,1,1
83,1,1,2,6,2,3,2,3,3,6,7,7,6,7,6,7,7,7,7,男,18-24岁,本科,1-2小时,1,2,3,3,3,5,5,5,2.6,6.6,6.8,0,1,0
84,2,1,7,7,2,2,1,3,1,7,7,6,7,7,7,7,7,7,7,男,18-24岁,本科,1-2小时,1,2,3,3,3,6,5,6,1.8,6.8,7,1,1,1
85,1,1,2,7,2,3,4,5,4,6,7,6,6,6,6,7,6,5,6,男,18-24岁,硕士及以上,1-2小时,1,2,4,3,6,5,6,5,3.6,6.2,6,0,1,0
86,2,1,5,5,3,2,2,1,2,5,5,6,6,6,5,6,6,7,7,女,18-24岁,硕士及以上,30-60分钟,2,2,4,2,2,6,6,7,2,5.6,6.2,1,1,1
87,2,1,7,7,1,1,1,1,1,4,5,5,6,6,6,7,7,6,7,男,18-24岁,本科,2小时以上,1,2,3,4,5,6,5,6,1,5.2,6.6,1,1,1
88,1,2,1,4,5,6,6,5,6,3,3,4,3,4,4,3,3,4,3,女,18-24岁,本科,1-2小时,2,2,3,3,5,3,4,3,5.6,3.4,3.4,0,0,0
89,2,1,7,6,3,2,2,3,3,5,6,6,7,7,5,6,6,7,6,男,18-24岁,大专,2小时以上,1,2,2,4,3,6,5,5,2.6,6.2,6,1,1,1
90,2,2,6,3,4,7,7,7,6,3,7,6,5,6,3,3,4,4,7,女,18-24岁,本科,2小时以上,2,2,3,4,6,5,5,5,6.2,5.4,4.2,1,0,0
